district,count,price_avg,price_median,price_min,price_max,ppf_avg,ppf_median,ppf_min,ppf_max
南區,379,27086066,16195000,220000,459999999,24041,23900,2600,98501
中西區,704,17790261,9880000,1390000,188800000,22598,20912,4920,125198
九龍城區,2025,17853157,11000000,580000,198000000,20741,19697,2439,132479
油尖旺區,1621,14775037,8980000,1080000,239000000,20222,18817,4333,94766
灣仔區,473,13696381,7800000,660000,148000000,18387,16768,5000,52990
深水埗區,1810,9954575,7700000,160000,170000000,16851,16275,2923,58359
西貢區,1869,10330771,8280000,250000,138000000,15885,16023,3281,63594
東區,956,10015343,7550000,750000,128000000,16320,15774,1630,63022
沙田區,2435,12002707,8800000,600000,180000000,16018,15307,2214,49464
荃灣區,1454,9018320,7080000,680000,130000000,14216,13436,1644,38059
黃大仙區,291,8483737,5900000,790000,97800000,13047,13171,2499,33402
大埔區,818,11179273,8000000,550000,198880000,12923,12651,957,55398
葵青區,799,6786365,5680000,1180000,100000000,12405,12431,1412,30374
觀塘區,623,7421291,5880000,200000,94000000,11716,12032,1873,41000
離島區,526,8596773,7300000,1630000,46800000,11948,11817,40,28169
元朗區,2898,7066398,5650000,690000,65000000,11640,11375,850,31733
屯門區,1570,6099852,4680000,630000,50000000,10952,10703,1579,26104
北區,999,7882549,4700000,980000,150000000,10466,10679,112,27106
